state,district,period,enrolment_count
Andhra Pradesh,Hyderabad,2025-09,86
Andhra Pradesh,Hyderabad,2025-10,85
Andhra Pradesh,Hyderabad,2025-11,90
Andhra Pradesh,Hyderabad,2025-12,72
Andhra Pradesh,Hyderabad,NaT,1452
Andhra Pradesh,K.V. Rangareddy,2025-01,1
Andhra Pradesh,K.V. Rangareddy,2025-04,1
Andhra Pradesh,K.V. Rangareddy,NaT,12
Andhra Pradesh,K.V.Rangareddy,2025-01,2
Andhra Pradesh,K.V.Rangareddy,2025-02,2
Andhra Pradesh,K.V.Rangareddy,2025-04,1
Andhra Pradesh,K.V.Rangareddy,2025-05,4
Andhra Pradesh,K.V.Rangareddy,2025-06,2
Andhra Pradesh,K.V.Rangareddy,2025-08,2
Andhra Pradesh,K.V.Rangareddy,2025-09,1
Andhra Pradesh,K.V.Rangareddy,2025-10,1
Andhra Pradesh,K.V.Rangareddy,2025-12,3
Andhra Pradesh,K.V.Rangareddy,NaT,21
Andhra Pradesh,Kakinada,2025-01,17
Andhra Pradesh,Kakinada,2025-02,12
Andhra Pradesh,Kakinada,2025-03,12
Andhra Pradesh,Kakinada,2025-04,11
Andhra Pradesh,Kakinada,2025-05,5
Andhra Pradesh,Kakinada,2025-06,12
Andhra Pradesh,Kakinada,2025-07,3
Andhra Pradesh,Kakinada,2025-08,19
Andhra Pradesh,Kakinada,2025-09,12
Andhra Pradesh,Kakinada,2025-10,11
Andhra Pradesh,Kakinada,2025-11,17
Andhra Pradesh,Kakinada,2025-12,17
Andhra Pradesh,Kakinada,NaT,283
Andhra Pradesh,Karim Nagar,2025-01,2
Andhra Pradesh,Karim Nagar,2025-02,1
Andhra Pradesh,Karim Nagar,2025-03,1
Andhra Pradesh,Karim Nagar,2025-04,3
Andhra Pradesh,Karim Nagar,2025-05,1
Andhra Pradesh,Karim Nagar,2025-06,2
Andhra Pradesh,Karim Nagar,2025-08,1
Andhra Pradesh,Karim Nagar,2025-09,2
Andhra Pradesh,Karim Nagar,2025-11,1
Andhra Pradesh,Karim Nagar,2025-12,2
Andhra Pradesh,Karim Nagar,NaT,20
Andhra Pradesh,Karimnagar,2025-01,18
Andhra Pradesh,Karimnagar,2025-02,16
Andhra Pradesh,Karimnagar,2025-03,14
Andhra Pradesh,Karimnagar,2025-04,19
Andhra Pradesh,Karimnagar,2025-05,4
Andhra Pradesh,Karimnagar,2025-06,11
Andhra Pradesh,Karimnagar,2025-07,2
Andhra Pradesh,Karimnagar,2025-08,23
Andhra Pradesh,Karimnagar,2025-09,17
Andhra Pradesh,Karimnagar,2025-10,17
Andhra Pradesh,Karimnagar,2025-11,18
Andhra Pradesh,Karimnagar,2025-12,20
Andhra Pradesh,Karimnagar,NaT,199
Andhra Pradesh,Khammam,2025-01,33
Andhra Pradesh,Khammam,2025-02,21
Andhra Pradesh,Khammam,2025-03,24
Andhra Pradesh,Khammam,2025-04,30
Andhra Pradesh,Khammam,2025-05,4
Andhra Pradesh,Khammam,2025-06,21
Andhra Pradesh,Khammam,2025-07,6
Andhra Pradesh,Khammam,2025-08,33
Andhra Pradesh,Khammam,2025-09,31
Andhra Pradesh,Khammam,2025-10,26
Andhra Pradesh,Khammam,2025-11,33
Andhra Pradesh,Khammam,2025-12,26
Andhra Pradesh,Khammam,NaT,351
Andhra Pradesh,Krishna,2025-01,106
Andhra Pradesh,Krishna,2025-02,150
Andhra Pradesh,Krishna,2025-03,112
Andhra Pradesh,Krishna,2025-04,105
Andhra Pradesh,Krishna,2025-05,49
Andhra Pradesh,Krishna,2025-06,109
Andhra Pradesh,Krishna,2025-07,10
Andhra Pradesh,Krishna,2025-08,145
Andhra Pradesh,Krishna,2025-09,132
Andhra Pradesh,Krishna,2025-10,93
Andhra Pradesh,Krishna,2025-11,101
Andhra Pradesh,Krishna,2025-12,114
Andhra Pradesh,Krishna,NaT,1857
Andhra Pradesh,Kurnool,2025-01,216
Andhra Pradesh,Kurnool,2025-02,221
Andhra Pradesh,Kurnool,2025-03,229
Andhra Pradesh,Kurnool,2025-04,177
Andhra Pradesh,Kurnool,2025-05,57
Andhra Pradesh,Kurnool,2025-06,202
Andhra Pradesh,Kurnool,2025-07,19
Andhra Pradesh,Kurnool,2025-08,239
Andhra Pradesh,Kurnool,2025-09,195
Andhra Pradesh,Kurnool,2025-10,177
Andhra Pradesh,Kurnool,2025-11,128
Andhra Pradesh,Kurnool,2025-12,184
Andhra Pradesh,Kurnool,NaT,3117
Andhra Pradesh,Mahabub Nagar,2025-01,53
Andhra Pradesh,Mahabub Nagar,2025-02,35
Andhra Pradesh,Mahabub Nagar,2025-03,35
Andhra Pradesh,Mahabub Nagar,2025-04,35
Andhra Pradesh,Mahabub Nagar,2025-05,4
Andhra Pradesh,Mahabub Nagar,2025-06,30
Andhra Pradesh,Mahabub Nagar,2025-07,1
Andhra Pradesh,Mahabub Nagar,2025-08,50
Andhra Pradesh,Mahabub Nagar,2025-09,57
Andhra Pradesh,Mahabub Nagar,2025-10,41
Andhra Pradesh,Mahabub Nagar,2025-11,30
Andhra Pradesh,Mahabub Nagar,2025-12,32
Andhra Pradesh,Mahabub Nagar,NaT,514
Andhra Pradesh,Mahabubnagar,2025-03,1
Andhra Pradesh,Mahabubnagar,2025-11,1
Andhra Pradesh,Mahabubnagar,NaT,2
Andhra Pradesh,Mahbubnagar,2025-01,22
Andhra Pradesh,Mahbubnagar,2025-02,19
Andhra Pradesh,Mahbubnagar,2025-03,12
Andhra Pradesh,Mahbubnagar,2025-04,23
Andhra Pradesh,Mahbubnagar,2025-05,2
Andhra Pradesh,Mahbubnagar,2025-06,21
Andhra Pradesh,Mahbubnagar,2025-08,21
Andhra Pradesh,Mahbubnagar,2025-09,10
Andhra Pradesh,Mahbubnagar,2025-10,23
Andhra Pradesh,Mahbubnagar,2025-11,12
Andhra Pradesh,Mahbubnagar,2025-12,13
Andhra Pradesh,Mahbubnagar,NaT,235
Andhra Pradesh,Medak,2025-01,24
Andhra Pradesh,Medak,2025-02,39
Andhra Pradesh,Medak,2025-03,34
Andhra Pradesh,Medak,2025-04,27
Andhra Pradesh,Medak,2025-05,4
Andhra Pradesh,Medak,2025-06,21
Andhra Pradesh,Medak,2025-08,46
Andhra Pradesh,Medak,2025-09,48
Andhra Pradesh,Medak,2025-10,38
Andhra Pradesh,Medak,2025-11,11
Andhra Pradesh,Medak,2025-12,28
Andhra Pradesh,Medak,NaT,448
Andhra Pradesh,N. T. R,2025-01,15
Andhra Pradesh,N. T. R,2025-02,16
Andhra Pradesh,N. T. R,2025-03,12
Andhra Pradesh,N. T. R,2025-04,15
Andhra Pradesh,N. T. R,2025-05,12
Andhra Pradesh,N. T. R,2025-06,13
Andhra Pradesh,N. T. R,2025-07,1
Andhra Pradesh,N. T. R,2025-08,12
Andhra Pradesh,N. T. R,2025-09,13
Andhra Pradesh,N. T. R,2025-10,17
Andhra Pradesh,N. T. R,2025-11,16
Andhra Pradesh,N. T. R,2025-12,22
Andhra Pradesh,N. T. R,NaT,245
Andhra Pradesh,Nalgonda,2025-01,22
Andhra Pradesh,Nalgonda,2025-02,25
Andhra Pradesh,Nalgonda,2025-03,32
Andhra Pradesh,Nalgonda,2025-04,28
Andhra Pradesh,Nalgonda,2025-05,9
Andhra Pradesh,Nalgonda,2025-06,19
Andhra Pradesh,Nalgonda,2025-08,33
Andhra Pradesh,Nalgonda,2025-09,26
Andhra Pradesh,Nalgonda,2025-10,30
Andhra Pradesh,Nalgonda,2025-11,18
Andhra Pradesh,Nalgonda,2025-12,35
Andhra Pradesh,Nalgonda,NaT,398
Andhra Pradesh,Nandyal,2025-01,19
Andhra Pradesh,Nandyal,2025-02,20
Andhra Pradesh,Nandyal,2025-03,16
Andhra Pradesh,Nandyal,2025-04,6
Andhra Pradesh,Nandyal,2025-05,6
Andhra Pradesh,Nandyal,2025-06,14
Andhra Pradesh,Nandyal,2025-08,17
Andhra Pradesh,Nandyal,2025-09,10
Andhra Pradesh,Nandyal,2025-10,14
Andhra Pradesh,Nandyal,2025-11,6
Andhra Pradesh,Nandyal,2025-12,12
Andhra Pradesh,Nandyal,NaT,230
Andhra Pradesh,Nellore,2025-01,120
Andhra Pradesh,Nellore,2025-02,106
Andhra Pradesh,Nellore,2025-03,114
Andhra Pradesh,Nellore,2025-04,79
Andhra Pradesh,Nellore,2025-05,26
Andhra Pradesh,Nellore,2025-06,100
Andhra Pradesh,Nellore,2025-07,7
Andhra Pradesh,Nellore,2025-08,89
Andhra Pradesh,Nellore,2025-09,85
Andhra Pradesh,Nellore,2025-10,83
Andhra Pradesh,Nellore,2025-11,63
Andhra Pradesh,Nellore,2025-12,93
Andhra Pradesh,Nellore,NaT,1504
Andhra Pradesh,Nizamabad,2025-01,9
Andhra Pradesh,Nizamabad,2025-02,10
Andhra Pradesh,Nizamabad,2025-03,14
Andhra Pradesh,Nizamabad,2025-04,12
Andhra Pradesh,Nizamabad,2025-06,14
Andhra Pradesh,Nizamabad,2025-08,15
Andhra Pradesh,Nizamabad,2025-09,10
Andhra Pradesh,Nizamabad,2025-10,8
Andhra Pradesh,Nizamabad,2025-11,13
Andhra Pradesh,Nizamabad,2025-12,9
Andhra Pradesh,Nizamabad,NaT,173
Andhra Pradesh,Palnadu,2025-01,16
Andhra Pradesh,Palnadu,2025-02,12
Andhra Pradesh,Palnadu,2025-03,12
Andhra Pradesh,Palnadu,2025-04,10
Andhra Pradesh,Palnadu,2025-05,8
Andhra Pradesh,Palnadu,2025-06,12
Andhra Pradesh,Palnadu,2025-08,18
Andhra Pradesh,Palnadu,2025-09,17
Andhra Pradesh,Palnadu,2025-10,19
Andhra Pradesh,Palnadu,2025-11,16
Andhra Pradesh,Palnadu,2025-12,6
Andhra Pradesh,Palnadu,NaT,247
Andhra Pradesh,Parvathipuram Manyam,2025-01,5
Andhra Pradesh,Parvathipuram Manyam,2025-02,10
Andhra Pradesh,Parvathipuram Manyam,2025-03,13
Andhra Pradesh,Parvathipuram Manyam,2025-04,5
Andhra Pradesh,Parvathipuram Manyam,2025-05,6
Andhra Pradesh,Parvathipuram Manyam,2025-06,7
Andhra Pradesh,Parvathipuram Manyam,2025-07,2
Andhra Pradesh,Parvathipuram Manyam,2025-08,10
Andhra Pradesh,Parvathipuram Manyam,2025-09,10
Andhra Pradesh,Parvathipuram Manyam,2025-10,8
Andhra Pradesh,Parvathipuram Manyam,2025-11,6
Andhra Pradesh,Parvathipuram Manyam,2025-12,7
Andhra Pradesh,Parvathipuram Manyam,NaT,169
Andhra Pradesh,Prakasam,2025-01,388
Andhra Pradesh,Prakasam,2025-02,168
Andhra Pradesh,Prakasam,2025-03,161
Andhra Pradesh,Prakasam,2025-04,120
Andhra Pradesh,Prakasam,2025-05,54
Andhra Pradesh,Prakasam,2025-06,145
Andhra Pradesh,Prakasam,2025-07,5
Andhra Pradesh,Prakasam,2025-08,168
Andhra Pradesh,Prakasam,2025-09,142
Andhra Pradesh,Prakasam,2025-10,150
Andhra Pradesh,Prakasam,2025-11,124
Andhra Pradesh,Prakasam,2025-12,167
Andhra Pradesh,Prakasam,NaT,2113
Andhra Pradesh,Rangareddi,2025-01,38
Andhra Pradesh,Rangareddi,2025-02,31
Andhra Pradesh,Rangareddi,2025-03,36
Andhra Pradesh,Rangareddi,2025-04,41
Andhra Pradesh,Rangareddi,2025-05,13
Andhra Pradesh,Rangareddi,2025-06,14
Andhra Pradesh,Rangareddi,2025-08,33
Andhra Pradesh,Rangareddi,2025-09,44
Andhra Pradesh,Rangareddi,2025-10,41
Andhra Pradesh,Rangareddi,2025-11,32
Andhra Pradesh,Rangareddi,2025-12,33
Andhra Pradesh,Rangareddi,NaT,572
Andhra Pradesh,Spsr Nellore,2025-01,2067
Andhra Pradesh,Spsr Nellore,NaT,116
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-01,39
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-02,31
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,22
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,34
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,10
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,28
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-08,23
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,30
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,23
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,21
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,27
Andhra Pradesh,Sri Potti Sriramulu Nellore,NaT,485
Andhra Pradesh,Sri Sathya Sai,2025-01,12
Andhra Pradesh,Sri Sathya Sai,2025-02,12
Andhra Pradesh,Sri Sathya Sai,2025-03,10
Andhra Pradesh,Sri Sathya Sai,2025-04,12
Andhra Pradesh,Sri Sathya Sai,2025-05,1
Andhra Pradesh,Sri Sathya Sai,2025-06,12
Andhra Pradesh,Sri Sathya Sai,2025-07,2
Andhra Pradesh,Sri Sathya Sai,2025-08,17
Andhra Pradesh,Sri Sathya Sai,2025-09,11
Andhra Pradesh,Sri Sathya Sai,2025-10,11
Andhra Pradesh,Sri Sathya Sai,2025-11,16
Andhra Pradesh,Sri Sathya Sai,2025-12,19
Andhra Pradesh,Sri Sathya Sai,NaT,259
Andhra Pradesh,Srikakulam,2025-01,86
Andhra Pradesh,Srikakulam,2025-02,73
Andhra Pradesh,Srikakulam,2025-03,64
Andhra Pradesh,Srikakulam,2025-04,52
Andhra Pradesh,Srikakulam,2025-05,57
Andhra Pradesh,Srikakulam,2025-06,71
Andhra Pradesh,Srikakulam,2025-07,9
Andhra Pradesh,Srikakulam,2025-08,84
Andhra Pradesh,Srikakulam,2025-09,97
Andhra Pradesh,Srikakulam,2025-10,69
Andhra Pradesh,Srikakulam,2025-11,86
Andhra Pradesh,Srikakulam,2025-12,45
Andhra Pradesh,Srikakulam,NaT,1215
Andhra Pradesh,Tirupati,2025-01,22
Andhra Pradesh,Tirupati,2025-02,20
Andhra Pradesh,Tirupati,2025-03,11
Andhra Pradesh,Tirupati,2025-04,10
Andhra Pradesh,Tirupati,2025-05,4
Andhra Pradesh,Tirupati,2025-06,20
Andhra Pradesh,Tirupati,2025-07,4
Andhra Pradesh,Tirupati,2025-08,34
Andhra Pradesh,Tirupati,2025-09,39
Andhra Pradesh,Tirupati,2025-10,34
Andhra Pradesh,Tirupati,2025-11,17
Andhra Pradesh,Tirupati,2025-12,27
Andhra Pradesh,Tirupati,NaT,502
Andhra Pradesh,Visakhapatanam,2025-01,226
Andhra Pradesh,Visakhapatnam,2025-01,116
Andhra Pradesh,Visakhapatnam,2025-02,118
Andhra Pradesh,Visakhapatnam,2025-03,105
Andhra Pradesh,Visakhapatnam,2025-04,93
Andhra Pradesh,Visakhapatnam,2025-05,81
Andhra Pradesh,Visakhapatnam,2025-06,126
Andhra Pradesh,Visakhapatnam,2025-07,14
Andhra Pradesh,Visakhapatnam,2025-08,132
Andhra Pradesh,Visakhapatnam,2025-09,125
Andhra Pradesh,Visakhapatnam,2025-10,120
Andhra Pradesh,Visakhapatnam,2025-11,112
Andhra Pradesh,Visakhapatnam,2025-12,103
Andhra Pradesh,Visakhapatnam,NaT,2456
Andhra Pradesh,Vizianagaram,2025-01,64
Andhra Pradesh,Vizianagaram,2025-02,62
Andhra Pradesh,Vizianagaram,2025-03,58
Andhra Pradesh,Vizianagaram,2025-04,54
Andhra Pradesh,Vizianagaram,2025-05,30
Andhra Pradesh,Vizianagaram,2025-06,63
Andhra Pradesh,Vizianagaram,2025-07,6
Andhra Pradesh,Vizianagaram,2025-08,93
Andhra Pradesh,Vizianagaram,2025-09,66
Andhra Pradesh,Vizianagaram,2025-10,67
Andhra Pradesh,Vizianagaram,2025-11,65
Andhra Pradesh,Vizianagaram,2025-12,57
Andhra Pradesh,Vizianagaram,NaT,1149
Andhra Pradesh,Warangal,2025-01,29
Andhra Pradesh,Warangal,2025-02,29
Andhra Pradesh,Warangal,2025-03,29
